model_id,dataset,subset,split,overall_wer,overall_word_substitutions,overall_word_insertions,overall_word_deletions,overall_word_hits,overall_num_ref_words,overall_substitution_rate,overall_insertion_rate,overall_deletion_rate,overall_cer,overall_char_substitutions,overall_char_insertions,overall_char_deletions,overall_char_hits,overall_num_ref_chars,overall_num_samples,overall_rtfx,overall_rows_dataset_ref,overall_rows_ours_ref,overall_rare_wer,overall_rare_sub_rate,overall_rare_del_rate,overall_rare_ref_words,overall_rare_substitutions,overall_rare_deletions,animation_wer,animation_word_substitutions,animation_word_insertions,animation_word_deletions,animation_word_hits,animation_num_ref_words,animation_substitution_rate,animation_insertion_rate,animation_deletion_rate,animation_cer,animation_char_substitutions,animation_char_insertions,animation_char_deletions,animation_char_hits,animation_num_ref_chars,animation_num_samples,animation_rtfx,animation_rows_dataset_ref,animation_rows_ours_ref,animation_rare_wer,animation_rare_sub_rate,animation_rare_del_rate,animation_rare_ref_words,animation_rare_substitutions,animation_rare_deletions,commonvoice_wer,commonvoice_word_substitutions,commonvoice_word_insertions,commonvoice_word_deletions,commonvoice_word_hits,commonvoice_num_ref_words,commonvoice_substitution_rate,commonvoice_insertion_rate,commonvoice_deletion_rate,commonvoice_cer,commonvoice_char_substitutions,commonvoice_char_insertions,commonvoice_char_deletions,commonvoice_char_hits,commonvoice_num_ref_chars,commonvoice_num_samples,commonvoice_rtfx,commonvoice_rows_dataset_ref,commonvoice_rows_ours_ref,commonvoice_rare_wer,commonvoice_rare_sub_rate,commonvoice_rare_del_rate,commonvoice_rare_ref_words,commonvoice_rare_substitutions,commonvoice_rare_deletions,drama_wer,drama_word_substitutions,drama_word_insertions,drama_word_deletions,drama_word_hits,drama_num_ref_words,drama_substitution_rate,drama_insertion_rate,drama_deletion_rate,drama_cer,drama_char_substitutions,drama_char_insertions,drama_char_deletions,drama_char_hits,drama_num_ref_chars,drama_num_samples,drama_rtfx,drama_rows_dataset_ref,drama_rows_ours_ref,drama_rare_wer,drama_rare_sub_rate,drama_rare_del_rate,drama_rare_ref_words,drama_rare_substitutions,drama_rare_deletions,fleurs_wer,fleurs_word_substitutions,fleurs_word_insertions,fleurs_word_deletions,fleurs_word_hits,fleurs_num_ref_words,fleurs_substitution_rate,fleurs_insertion_rate,fleurs_deletion_rate,fleurs_cer,fleurs_char_substitutions,fleurs_char_insertions,fleurs_char_deletions,fleurs_char_hits,fleurs_num_ref_chars,fleurs_num_samples,fleurs_rtfx,fleurs_rows_dataset_ref,fleurs_rows_ours_ref,fleurs_rare_wer,fleurs_rare_sub_rate,fleurs_rare_del_rate,fleurs_rare_ref_words,fleurs_rare_substitutions,fleurs_rare_deletions,news_wer,news_word_substitutions,news_word_insertions,news_word_deletions,news_word_hits,news_num_ref_words,news_substitution_rate,news_insertion_rate,news_deletion_rate,news_cer,news_char_substitutions,news_char_insertions,news_char_deletions,news_char_hits,news_num_ref_chars,news_num_samples,news_rtfx,news_rows_dataset_ref,news_rows_ours_ref,news_rare_wer,news_rare_sub_rate,news_rare_del_rate,news_rare_ref_words,news_rare_substitutions,news_rare_deletions,parliament_wer,parliament_word_substitutions,parliament_word_insertions,parliament_word_deletions,parliament_word_hits,parliament_num_ref_words,parliament_substitution_rate,parliament_insertion_rate,parliament_deletion_rate,parliament_cer,parliament_char_substitutions,parliament_char_insertions,parliament_char_deletions,parliament_char_hits,parliament_num_ref_chars,parliament_num_samples,parliament_rtfx,parliament_rows_dataset_ref,parliament_rows_ours_ref,parliament_rare_wer,parliament_rare_sub_rate,parliament_rare_del_rate,parliament_rare_ref_words,parliament_rare_substitutions,parliament_rare_deletions,podcast_wer,podcast_word_substitutions,podcast_word_insertions,podcast_word_deletions,podcast_word_hits,podcast_num_ref_words,podcast_substitution_rate,podcast_insertion_rate,podcast_deletion_rate,podcast_cer,podcast_char_substitutions,podcast_char_insertions,podcast_char_deletions,podcast_char_hits,podcast_num_ref_chars,podcast_num_samples,podcast_rtfx,podcast_rows_dataset_ref,podcast_rows_ours_ref,podcast_rare_wer,podcast_rare_sub_rate,podcast_rare_del_rate,podcast_rare_ref_words,podcast_rare_substitutions,podcast_rare_deletions,read-speech_wer,read-speech_word_substitutions,read-speech_word_insertions,read-speech_word_deletions,read-speech_word_hits,read-speech_num_ref_words,read-speech_substitution_rate,read-speech_insertion_rate,read-speech_deletion_rate,read-speech_cer,read-speech_char_substitutions,read-speech_char_insertions,read-speech_char_deletions,read-speech_char_hits,read-speech_num_ref_chars,read-speech_num_samples,read-speech_rtfx,read-speech_rows_dataset_ref,read-speech_rows_ours_ref,read-speech_rare_wer,read-speech_rare_sub_rate,read-speech_rare_del_rate,read-speech_rare_ref_words,read-speech_rare_substitutions,read-speech_rare_deletions,short-inputs_wer,short-inputs_word_substitutions,short-inputs_word_insertions,short-inputs_word_deletions,short-inputs_word_hits,short-inputs_num_ref_words,short-inputs_substitution_rate,short-inputs_insertion_rate,short-inputs_deletion_rate,short-inputs_cer,short-inputs_char_substitutions,short-inputs_char_insertions,short-inputs_char_deletions,short-inputs_char_hits,short-inputs_num_ref_chars,short-inputs_num_samples,short-inputs_rtfx,short-inputs_rows_dataset_ref,short-inputs_rows_ours_ref,short-inputs_rare_wer,short-inputs_rare_sub_rate,short-inputs_rare_del_rate,short-inputs_rare_ref_words,short-inputs_rare_substitutions,short-inputs_rare_deletions,singing_wer,singing_word_substitutions,singing_word_insertions,singing_word_deletions,singing_word_hits,singing_num_ref_words,singing_substitution_rate,singing_insertion_rate,singing_deletion_rate,singing_cer,singing_char_substitutions,singing_char_insertions,singing_char_deletions,singing_char_hits,singing_num_ref_chars,singing_num_samples,singing_rtfx,singing_rows_dataset_ref,singing_rows_ours_ref,singing_rare_wer,singing_rare_sub_rate,singing_rare_del_rate,singing_rare_ref_words,singing_rare_substitutions,singing_rare_deletions,street interview_wer,street interview_word_substitutions,street interview_word_insertions,street interview_word_deletions,street interview_word_hits,street interview_num_ref_words,street interview_substitution_rate,street interview_insertion_rate,street interview_deletion_rate,street interview_cer,street interview_char_substitutions,street interview_char_insertions,street interview_char_deletions,street interview_char_hits,street interview_num_ref_chars,street interview_num_samples,street interview_rtfx,street interview_rows_dataset_ref,street interview_rows_ours_ref,street interview_rare_wer,street interview_rare_sub_rate,street interview_rare_del_rate,street interview_rare_ref_words,street interview_rare_substitutions,street interview_rare_deletions,telephony_wer,telephony_word_substitutions,telephony_word_insertions,telephony_word_deletions,telephony_word_hits,telephony_num_ref_words,telephony_substitution_rate,telephony_insertion_rate,telephony_deletion_rate,telephony_cer,telephony_char_substitutions,telephony_char_insertions,telephony_char_deletions,telephony_char_hits,telephony_num_ref_chars,telephony_num_samples,telephony_rtfx,telephony_rows_dataset_ref,telephony_rows_ours_ref,telephony_rare_wer,telephony_rare_sub_rate,telephony_rare_del_rate,telephony_rare_ref_words,telephony_rare_substitutions,telephony_rare_deletions
scribe_v2,Revolab/ASR-Benchmark-Public,,train,4.79,397,78,203,13546,14146,2.81,0.55,1.44,2.0,442,379,663,73222,74327,820,7.27,692,128,5.9,4.86,1.04,4732,230,49,6.03,27,11,2,634,663,4.07,1.66,0.3,1.7,17,20,15,3024,3056,50,5.1,47,3,12.09,11.63,0.47,215,25,1,3.16,55,10,47,3447,3549,1.55,0.28,1.32,1.29,51,39,164,19450,19665,141,10.37,117,24,5.53,3.95,1.58,886,35,14,6.74,44,10,7,854,905,4.86,1.1,0.77,2.2,44,23,20,3882,3946,52,5.5,48,4,11.42,10.24,1.18,254,26,3,2.38,47,3,22,2951,3020,1.56,0.1,0.73,1.06,61,32,98,17841,18000,153,9.48,113,40,3.42,2.72,0.7,1287,35,9,3.67,36,7,8,1345,1389,2.59,0.5,0.58,1.54,40,40,37,7505,7582,52,6.61,36,16,3.11,2.81,0.3,676,19,2,4.09,20,5,17,990,1027,1.95,0.49,1.66,1.69,20,40,41,5919,5980,52,6.93,36,16,5.04,3.98,1.06,377,15,4,4.77,30,6,23,1185,1238,2.42,0.48,1.86,1.93,24,27,58,5573,5655,52,5.9,42,10,3.92,3.36,0.56,357,12,2,1.53,5,0,0,321,326,1.53,0.0,0.0,0.24,3,0,1,1648,1652,51,3.57,49,2,3.81,3.81,0.0,105,4,0,13.04,12,0,3,100,115,10.43,0.0,2.61,5.68,16,0,12,465,493,52,1.25,49,3,14.0,12.0,2.0,50,6,1,11.19,38,4,7,393,438,8.68,0.91,1.6,4.71,44,24,36,2130,2210,51,8.52,50,1,12.74,12.1,0.64,157,19,1,12.96,56,20,52,880,988,5.67,2.02,5.26,7.33,67,116,138,4177,4382,48,5.38,40,8,15.07,9.59,5.48,219,21,12,9.02,27,2,15,446,488,5.53,0.41,3.07,6.8,55,18,43,1608,1706,66,2.95,65,1,8.72,8.72,0.0,149,13,0
aisyah-1.0-pro,Revolab/ASR-Benchmark-Public,,train,4.89,398,78,224,13694,14316,2.78,0.54,1.56,1.97,431,331,719,74111,75261,820,15.73,758,62,7.08,5.7,1.38,4705,268,65,3.92,19,4,3,641,663,2.87,0.6,0.45,1.57,18,13,17,3018,3053,50,10.15,48,2,8.33,7.41,0.93,216,16,2,3.74,58,15,60,3438,3556,1.63,0.42,1.69,1.62,51,42,227,19426,19704,141,18.41,121,20,6.69,4.42,2.27,882,39,20,6.42,38,5,15,851,904,4.2,0.55,1.66,2.79,29,36,45,3874,3948,52,10.08,48,4,9.84,8.66,1.18,254,22,3,3.42,90,8,8,3005,3103,2.9,0.26,0.26,0.92,95,22,54,18359,18508,153,43.7,147,6,6.41,6.1,0.32,1263,77,4,3.66,27,8,17,1376,1420,1.9,0.56,1.2,1.24,29,36,31,7667,7727,52,11.57,46,6,4.24,2.92,1.32,684,20,9,3.71,18,10,11,1023,1052,1.71,0.95,1.05,1.62,21,39,39,6055,6115,52,12.11,44,8,4.31,3.5,0.81,371,13,3,4.41,25,7,23,1200,1248,2.0,0.56,1.84,1.67,12,27,56,5620,5688,52,10.48,46,6,5.32,3.92,1.4,357,14,5,2.15,6,1,0,320,326,1.84,0.31,0.0,0.97,10,6,0,1642,1652,51,7.63,49,2,2.86,2.86,0.0,105,3,0,2.52,2,0,1,116,119,1.68,0.0,0.84,1.56,6,1,1,507,514,52,3.11,52,0,4.17,4.17,0.0,48,2,0,10.5,34,2,10,394,438,7.76,0.46,2.28,4.02,39,13,37,2138,2214,51,18.67,50,1,16.56,14.01,2.55,157,22,4,14.56,68,14,63,865,996,6.83,1.41,6.33,8.23,100,82,181,4130,4411,48,10.84,41,7,21.66,14.75,6.91,217,32,15,6.11,13,4,13,465,491,2.65,0.81,2.65,3.82,21,14,31,1675,1727,66,7.38,66,0,5.3,5.3,0.0,151,8,0
gemini-2.5-pro,Revolab/ASR-Benchmark-Public,,train,5.3,371,91,285,13440,14096,2.63,0.65,2.02,2.43,455,425,922,72641,74018,820,1.12,665,155,5.7,4.18,1.52,4734,198,72,5.3,27,6,2,632,661,4.08,0.91,0.3,2.01,28,18,15,2998,3041,50,0.67,47,3,9.68,8.76,0.92,217,19,2,3.16,31,7,74,3442,3547,0.87,0.2,2.09,1.37,24,29,216,19410,19650,141,1.92,115,26,4.74,2.14,2.59,887,19,23,8.31,41,15,19,843,903,4.54,1.66,2.1,2.82,23,41,47,3867,3937,52,0.87,46,6,11.95,10.76,1.2,251,27,3,2.26,46,7,15,2952,3013,1.53,0.23,0.5,0.91,51,36,76,17828,17955,153,1.45,111,42,3.41,2.95,0.47,1289,38,6,3.05,21,7,14,1342,1377,1.53,0.51,1.02,1.28,26,26,44,7433,7503,52,1.31,29,23,2.2,1.76,0.44,683,12,3,3.93,20,3,17,982,1019,1.96,0.29,1.67,1.57,17,34,42,5875,5934,52,1.24,33,19,3.44,3.17,0.26,378,12,1,4.6,25,10,22,1191,1238,2.02,0.81,1.78,1.77,26,27,47,5582,5655,52,0.98,42,10,3.08,1.68,1.4,357,6,5,5.85,8,0,11,306,325,2.46,0.0,3.38,4.19,10,1,58,1577,1645,51,0.43,48,3,5.66,2.83,2.83,106,3,3,36.84,24,1,17,73,114,21.05,0.88,14.91,28.22,66,19,51,365,482,52,0.13,46,6,26.0,16.0,10.0,50,8,5,10.5,34,3,9,395,438,7.76,0.68,2.05,4.84,43,26,38,2129,2210,51,1.12,50,1,12.1,11.46,0.64,157,18,1,11.26,47,27,37,902,986,4.77,2.74,3.75,7.14,44,143,125,4199,4368,48,0.82,38,10,12.9,8.76,4.15,217,19,9,21.05,47,5,48,380,475,9.89,1.05,10.11,17.4,97,25,163,1378,1638,66,0.36,60,6,19.72,11.97,7.75,142,17,11
qwen-audio-3.0-asr-flash,Revolab/ASR-Benchmark-Public,,train,7.22,592,110,329,13362,14283,4.14,0.77,2.3,3.15,749,461,1147,72871,74767,820,12.99,743,77,9.05,6.95,2.1,4751,330,100,7.24,35,5,8,620,663,5.28,0.75,1.21,3.38,36,20,47,2961,3044,50,10.11,47,3,12.84,12.39,0.46,218,27,1,4.78,63,10,97,3393,3553,1.77,0.28,2.73,2.02,60,38,299,19324,19683,141,17.76,120,21,8.05,4.88,3.17,882,43,28,11.45,78,9,17,813,908,8.59,0.99,1.87,4.79,96,54,39,3813,3948,52,9.97,51,1,15.23,13.28,1.95,256,34,5,3.29,78,10,12,2947,3037,2.57,0.33,0.4,1.19,76,53,87,17936,18099,153,15.66,120,33,5.4,5.01,0.39,1277,64,5,6.05,45,20,21,1356,1422,3.16,1.41,1.48,1.97,42,57,52,7590,7684,52,11.63,48,4,5.9,4.32,1.58,695,30,11,5.37,28,14,15,1019,1062,2.64,1.32,1.41,2.5,49,57,47,6025,6121,52,12.37,47,5,6.08,5.03,1.06,378,19,4,7.24,47,15,29,1181,1257,3.74,1.19,2.31,3.02,54,34,84,5557,5695,52,10.23,49,3,6.67,5.0,1.67,360,18,6,2.76,8,0,1,317,326,2.45,0.0,0.31,1.03,12,3,2,1638,1652,51,7.46,49,2,6.67,5.71,0.95,105,6,1,22.88,18,2,7,93,118,15.25,1.69,5.93,13.81,38,8,24,445,507,52,2.53,51,1,12.5,8.33,4.17,48,4,2,17.12,43,5,27,368,438,9.82,1.14,6.16,9.12,73,24,105,2037,2215,51,17.15,49,2,23.57,17.83,5.73,157,28,9,20.59,120,18,70,820,1010,11.88,1.78,6.93,12.47,151,100,299,3962,4412,48,10.4,47,1,32.3,22.12,10.18,226,50,23,11.45,29,2,25,435,489,5.93,0.41,5.11,8.03,62,13,62,1583,1707,66,5.28,65,1,8.05,4.7,3.36,149,7,5
qwen3-asr-0.6b-malay-s12000,Revolab/ASR-Benchmark-Public,,train,7.47,685,156,229,13405,14319,4.78,1.09,1.6,3.09,855,601,871,73526,75252,820,86.71,758,62,11.08,9.58,1.51,4710,451,71,8.6,41,9,7,615,663,6.18,1.36,1.06,3.54,54,18,36,2963,3053,50,70.91,48,2,16.67,14.81,1.85,216,32,4,4.72,90,18,60,3407,3557,2.53,0.51,1.69,1.86,92,61,214,19399,19705,141,107.55,123,18,8.93,6.55,2.37,885,58,21,8.52,51,9,17,836,904,5.64,1.0,1.88,3.85,65,34,53,3830,3948,52,68.68,47,5,14.57,12.99,1.57,254,33,4,5.67,147,19,10,2949,3106,4.73,0.61,0.32,1.53,173,29,81,18254,18508,153,97.21,149,4,11.15,10.67,0.47,1265,135,6,5.14,42,18,13,1365,1420,2.96,1.27,0.92,2.29,44,80,53,7630,7727,52,74.31,46,6,6.58,5.41,1.17,684,37,8,5.13,27,13,14,1012,1053,2.56,1.23,1.33,2.54,30,66,59,6020,6109,52,76.5,43,9,5.39,4.31,1.08,371,16,4,6.09,39,12,25,1183,1247,3.13,0.96,2.0,2.9,38,49,78,5572,5688,52,69.46,45,7,7.84,6.72,1.12,357,24,4,3.37,10,0,1,315,326,3.07,0.0,0.31,0.97,10,2,4,1638,1652,51,61.29,49,2,7.62,7.62,0.0,105,8,0,15.13,4,12,2,113,119,3.36,10.08,1.68,13.81,8,56,7,499,514,52,27.67,52,0,6.25,4.17,2.08,48,2,1,23.74,85,8,11,342,438,19.41,1.83,2.51,9.41,105,39,64,2042,2211,51,125.08,49,2,28.66,26.11,2.55,157,41,4,18.98,110,24,55,831,996,11.04,2.41,5.52,10.11,168,109,169,4074,4411,48,69.52,41,7,26.73,20.74,5.99,217,45,13,13.67,39,14,14,437,490,7.96,2.86,2.86,10.37,68,58,53,1605,1726,66,52.88,66,0,14.57,13.25,1.32,151,20,2
qwen3-asr-0.6b-malay-aug-s12000-L0,Revolab/ASR-Benchmark-Public,,train,7.63,682,172,239,13402,14323,4.76,1.2,1.67,3.42,853,762,958,73444,75255,820,87.59,760,60,10.83,9.22,1.61,4718,435,76,6.64,30,11,3,630,663,4.52,1.66,0.45,3.14,39,30,27,2990,3056,50,71.23,47,3,12.09,10.7,1.4,215,23,3,4.84,90,19,63,3404,3557,2.53,0.53,1.77,1.93,92,60,228,19385,19705,141,108.77,123,18,9.15,6.67,2.49,885,59,22,7.74,48,8,14,842,904,5.31,0.88,1.55,3.32,55,34,42,3851,3948,52,68.81,47,5,13.39,11.81,1.57,254,30,4,5.29,136,17,11,2956,3103,4.38,0.55,0.35,1.43,164,26,75,18271,18510,153,97.88,148,5,10.28,9.64,0.63,1265,122,8,5.21,39,19,16,1365,1420,2.75,1.34,1.13,2.42,45,92,50,7632,7727,52,74.85,46,6,5.99,4.68,1.32,684,32,9,5.22,31,14,10,1012,1053,2.94,1.33,0.95,2.67,40,73,50,6019,6109,52,77.49,42,10,5.39,4.58,0.81,371,17,3,6.98,52,13,22,1173,1247,4.17,1.04,1.76,3.31,45,67,76,5562,5683,52,70.33,46,6,10.28,9.17,1.11,360,33,4,4.89,15,0,1,311,327,4.59,0.0,0.31,1.21,13,5,2,1637,1652,51,61.85,50,1,9.43,9.43,0.0,106,10,0,17.65,5,14,2,112,119,4.2,11.76,1.68,14.4,7,61,6,501,514,52,28.15,52,0,4.17,4.17,0.0,48,2,0,26.71,77,7,33,328,438,17.58,1.6,7.53,14.97,103,51,177,1931,2211,51,130.28,49,2,32.48,24.2,8.28,157,38,13,19.96,117,34,49,836,1002,11.68,3.39,4.89,12.03,170,187,174,4070,4414,48,69.91,44,4,26.13,22.52,3.6,222,50,8,14.9,42,16,15,433,490,8.57,3.27,3.06,11.99,80,76,51,1595,1726,66,53.24,66,0,13.91,12.58,1.32,151,19,2
ilmu-asr-v4.2,Revolab/ASR-Benchmark-Public,,train,7.78,701,104,304,13243,14248,4.92,0.73,2.13,3.15,867,473,1017,73015,74899,820,12.06,735,85,11.47,9.77,1.7,4718,461,80,8.45,44,8,4,615,663,6.64,1.21,0.6,3.34,48,29,25,2980,3053,50,17.17,48,2,16.67,15.74,0.93,216,34,2,6.15,104,15,100,3355,3559,2.92,0.42,2.81,2.31,88,66,302,19321,19711,141,29.6,124,17,11.27,7.78,3.49,887,69,31,9.07,60,14,8,836,904,6.64,1.55,0.88,3.5,67,44,27,3850,3944,52,6.2,47,5,17.0,15.81,1.19,253,40,3,5.69,142,20,14,2939,3095,4.59,0.65,0.45,1.78,187,50,92,18171,18450,153,29.87,142,11,11.01,10.37,0.63,1263,131,8,4.7,43,9,14,1346,1403,3.06,0.64,1.0,1.79,51,44,42,7549,7642,52,8.43,41,11,6.01,5.28,0.73,682,36,5,4.09,26,4,12,989,1027,2.53,0.39,1.17,1.62,31,30,36,5913,5980,52,8.6,37,15,6.37,5.04,1.33,377,19,5,4.03,26,2,22,1192,1240,2.1,0.16,1.77,1.75,20,22,57,5588,5665,52,3.59,43,9,3.36,2.52,0.84,357,9,3,3.68,12,0,0,314,326,3.68,0.0,0.0,0.73,8,2,2,1642,1652,51,12.92,49,2,9.52,9.52,0.0,105,10,0,24.14,13,0,15,88,116,11.21,0.0,12.93,19.96,32,1,65,394,491,52,5.33,49,3,13.73,5.88,7.84,51,3,4,29.45,106,14,9,323,438,24.2,3.2,2.05,11.86,143,54,65,2002,2210,51,8.88,50,1,44.59,41.4,3.18,157,65,5,16.92,85,15,67,835,987,8.61,1.52,6.79,9.46,124,92,198,4053,4375,48,4.5,39,9,18.26,15.07,3.2,219,33,7,16.73,40,3,39,411,490,8.16,0.61,7.96,12.34,68,39,106,1552,1726,66,12.24,66,0,12.58,7.95,4.64,151,12,7
aisyah-1.0-flash,Revolab/ASR-Benchmark-Public,,train,7.98,704,93,345,13266,14315,4.92,0.65,2.41,3.91,864,419,1658,72730,75252,820,45.57,756,64,12.62,9.73,2.89,4706,458,136,9.8,54,6,5,604,663,8.14,0.9,0.75,3.51,67,18,22,2963,3052,50,45.91,49,1,20.37,18.98,1.39,216,41,3,4.44,100,12,46,3411,3557,2.81,0.34,1.29,1.85,122,48,194,19388,19704,141,47.99,121,20,9.63,7.25,2.38,883,64,21,9.63,60,8,19,824,903,6.64,0.89,2.1,4.36,62,39,71,3814,3947,52,45.79,48,4,17.72,14.96,2.76,254,38,7,5.22,130,19,13,2961,3104,4.19,0.61,0.42,1.56,160,48,80,18267,18507,153,43.55,144,9,10.06,9.43,0.63,1262,119,8,4.51,43,10,11,1366,1420,3.03,0.7,0.77,1.5,47,47,22,7658,7727,52,46.6,46,6,5.99,4.97,1.02,684,34,7,2.85,20,4,6,1026,1052,1.9,0.38,0.57,1.34,31,24,27,6057,6115,52,46.74,44,8,3.5,2.7,0.81,371,10,3,4.65,40,7,11,1196,1247,3.21,0.56,0.88,1.93,41,32,37,5610,5688,52,46.6,45,7,8.96,7.56,1.4,357,27,5,2.45,8,0,0,318,326,2.45,0.0,0.0,0.85,5,7,2,1645,1652,51,41.3,49,2,6.67,6.67,0.0,105,7,0,2.52,3,0,0,116,119,2.52,0.0,0.0,1.36,5,1,1,508,514,52,25.34,52,0,4.17,4.17,0.0,48,2,0,67.58,107,4,185,146,438,24.43,0.91,42.24,51.29,121,26,986,1102,2209,51,46.13,51,0,78.48,33.54,44.94,158,53,71,14.66,95,18,33,868,996,9.54,1.81,3.31,8.39,120,101,149,4142,4411,48,46.6,41,7,22.58,18.89,3.69,217,41,8,13.27,44,5,16,430,490,8.98,1.02,3.27,10.31,83,28,67,1576,1726,66,40.42,66,0,16.56,14.57,1.99,151,22,3
gemini-2.5-flash,Revolab/ASR-Benchmark-Public,,train,9.05,631,307,337,13123,14091,4.48,2.18,2.39,4.66,862,1415,1171,71978,74011,820,1.37,668,152,8.63,6.87,1.75,4730,325,83,9.53,43,15,5,613,661,6.51,2.27,0.76,5.0,49,69,34,2958,3041,50,0.96,47,3,13.36,12.44,0.92,217,27,2,4.09,57,11,77,3411,3545,1.61,0.31,2.17,1.8,46,54,254,19351,19651,141,2.69,115,26,6.33,4.07,2.26,885,36,20,10.64,66,8,22,814,902,7.32,0.89,2.44,4.8,77,47,65,3798,3940,52,1.15,47,5,14.68,12.3,2.38,252,31,6,3.29,83,7,9,2914,3006,2.76,0.23,0.3,1.11,93,42,64,17753,17910,153,2.02,111,42,6.13,5.82,0.31,1289,75,4,3.27,25,3,17,1335,1377,1.82,0.22,1.23,1.2,29,12,49,7425,7503,52,1.82,29,23,3.07,2.49,0.59,683,17,4,9.53,36,42,19,963,1018,3.54,4.13,1.87,6.02,46,235,76,5805,5927,52,1.79,31,21,5.04,4.51,0.53,377,17,2,13.09,52,72,38,1148,1238,4.2,5.82,3.07,8.03,56,298,100,5499,5655,52,1.41,42,10,5.88,3.92,1.96,357,14,7,10.77,26,4,5,294,325,8.0,1.23,1.54,4.19,32,13,24,1589,1645,51,0.56,48,3,13.21,11.32,1.89,106,12,2,94.02,40,52,18,59,117,34.19,44.44,15.38,72.91,99,197,70,333,502,52,0.15,50,2,34.69,24.49,10.2,49,12,5,24.66,69,27,12,357,438,15.75,6.16,2.74,13.8,124,103,78,2008,2210,51,0.51,50,1,23.57,21.66,1.91,157,34,3,19.27,77,58,55,854,986,7.81,5.88,5.58,12.68,88,307,159,4121,4368,48,1.25,38,10,18.89,13.82,5.07,217,30,11,26.15,57,8,60,361,478,11.92,1.67,12.55,21.64,123,38,198,1338,1659,66,0.45,60,6,26.24,14.18,12.06,141,20,17
universal-2,Revolab/ASR-Benchmark-Public,,train,14.86,1281,85,728,12084,14093,9.09,0.6,5.17,8.91,2945,1218,2432,68637,74014,820,1.83,668,152,21.02,16.88,4.14,4733,799,196,7.72,32,4,15,614,661,4.84,0.61,2.27,3.84,50,16,51,2943,3044,50,1.26,46,4,13.43,10.65,2.78,216,23,6,5.78,85,8,112,3350,3547,2.4,0.23,3.16,2.48,78,40,369,19203,19650,141,3.02,117,24,10.35,6.75,3.6,889,60,32,16.94,97,5,51,755,903,10.74,0.55,5.65,11.44,210,102,139,3592,3941,52,1.42,46,6,25.0,21.03,3.97,252,53,10,6.52,157,23,16,2833,3006,5.22,0.77,0.53,2.11,173,103,102,17634,17909,153,2.57,115,38,11.56,10.94,0.62,1289,141,8,35.0,420,13,50,910,1380,30.43,0.94,3.62,27.4,1306,572,182,6029,7517,52,2.19,31,21,43.65,41.61,2.04,685,285,14,10.93,55,7,49,912,1016,5.41,0.69,4.82,4.86,51,43,194,5676,5921,52,1.98,31,21,12.47,9.55,2.92,377,36,11,14.38,64,1,113,1061,1238,5.17,0.08,9.13,10.38,157,54,376,5123,5656,52,1.69,40,12,14.69,6.78,7.91,354,24,28,2.46,7,1,0,318,325,2.15,0.31,0.0,1.09,7,5,6,1632,1645,51,0.66,48,3,6.6,6.6,0.0,106,7,0,45.69,43,3,7,66,116,37.07,2.59,6.03,38.26,133,33,23,338,494,52,0.18,46,6,57.45,53.19,4.26,47,25,2,33.33,61,5,80,297,438,13.93,1.14,18.26,21.58,72,27,378,1760,2210,51,1.85,50,1,45.86,26.11,19.75,157,41,31,24.54,101,13,128,757,986,10.24,1.32,12.98,15.59,215,78,388,3765,4368,48,1.54,38,10,34.1,23.5,10.6,217,51,23,56.18,159,2,107,211,477,33.33,0.42,22.43,51.96,493,145,224,942,1659,66,0.45,60,6,58.33,36.81,21.53,144,53,31
